id,img_name,Scientific_name,Sex,Tag,Info1,Info2,Info3,Info4
MGCL 1163613,MGCL 1163613_8151.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163613,"COSTA RICA, 1989 Limon Prov. Alt. 275m Nr. Siquirres 3–7 Sep PAUL F. MILNER. COLL.",P. Milner coll. MGCL Accession #2010-5,,
MGCL 1163614,MGCL 1163614_8153.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163614,"JAMAICA, W. I. 1962 St. Andrew 1 July Hope Gardens P. F. MILNER, Coll.",P. Milner coll. MGCL Accession #2010-5,,
MGCL 1163615,MGCL 1163615_8155.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163615,"Jamaica, W. I. 1965 St. Andrew: Kingston Mona area: June P. F. Milner, Coll.",P. Milner coll. MGCL Accession #2010-5,,
MGCL 1163616,MGCL 1163616_8157.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163616,Jamaica. Kingston 8 Nov. 1979 D. W. Jenkins,D. & J. Jenkins colln. Allyn Museum Acc. 1993-15,,
MGCL 1163617,MGCL 1163617_8159.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163617,Jamaica. Kingston 8 Nov. 1979 D. W. Jenkins,D. & J. Jenkins colln. Allyn Museum Acc. 1993-15,,
MGCL 1163618,MGCL 1163618_8161.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163618,Jamaica. Kingston 8 Nov. 1979 D. W. Jenkins,D. & J. Jenkins colln. Allyn Museum Acc. 1993-15,,
MGCL 1163619,MGCL 1163619_8163.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163619,Jamaica. Kingston 8 Nov. 1979 D. W. Jenkins,D. & J. Jenkins colln. Allyn Museum Acc. 1993-15,,
MGCL 1163620,MGCL 1163620_8165.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163620,Jamaica. Kingston 8 Nov. 1979 D. W. Jenkins,D. & J. Jenkins colln. Allyn Museum Acc. 1993-15,,
MGCL 1163621,MGCL 1163621_8167.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163621,JAMAICA: SAINT THOMAS ROSELLE (or Rozelle) FALLS 17°53'—''N; 76°29'—''W DATE: JUNE #11019 ♀,PIERIDAE PHOEBIS sennae sennae (Linnaeus),R Warren colln. Allyn Museum Acc. 2005-1,
MGCL 1163622,MGCL 1163622_8169.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163622,ROSE PLANTATAION MONTIEGO BAY ST. JAMES PARISH JAMAICA ED. HOLLISTER COLL.,January 1991,Phoebis sennae sennae ♀ JAMAICA,RC Holliaster colln. MGCL Acc. no. 2005-20
